epoch 568, time = 28.866, error = 1576.72953272
epoch 569, time = 28.641, error = 1592.1726667
epoch 570, time = 28.832, error = 1316.24947056
epoch 571, time = 29.955, error = 1454.0041816
epoch 572, time = 28.591, error = 1697.63426544
epoch 573, time = 29.199, error = 1454.36836613
epoch 574, time = 29.48, error = 1478.11736208
epoch 575, time = 28.674, error = 1589.29571758
epoch 576, time = 28.678, error = 1518.87425335
epoch 577, time = 28.834, error = 1464.94661384
epoch 578, time = 28.805, error = 1539.16378069
epoch 579, time = 28.595, error = 1507.18873925
epoch 580, time = 29.464, error = 1443.81162489
epoch 581, time = 28.604, error = 1508.12043916
epoch 582, time = 28.801, error = 1381.86799969
epoch 583, time = 28.672, error = 1741.14158311
epoch 584, time = 28.655, error = 1689.86374248
epoch 585, time = 28.843, error = 1532.4095531
epoch 586, time = 29.681, error = 1299.79841408
epoch 587, time = 29.448, error = 1476.90220597
epoch 588, time = 28.493, error = 1325.78027121
epoch 589, time = 27.932, error = 1505.1416096
epoch 590, time = 28.645, error = 1573.95711008
epoch 591, time = 28.617, error = 1370.03141757
epoch 592, time = 28.984, error = 1541.08186894
epoch 593, time = 28.312, error = 1406.46643181
epoch 594, time = 28.739, error = 1366.63375176
epoch 595, time = 28.789, error = 1400.80660073
epoch 596, time = 28.706, error = 1365.69006346
epoch 597, time = 28.843, error = 1527.41015311
epoch 598, time = 30.12, error = 1403.79216275
epoch 599, time = 28.465, error = 1338.36261104
epoch 600, time = 29.288, error = 1357.09980664
epoch 601, time = 31.308, error = 1440.67126525
epoch 602, time = 28.831, error = 1567.42823084
epoch 603, time = 29.571, error = 1540.3154356
epoch 604, time = 28.89, error = 1463.90666126
epoch 605, time = 28.501, error = 1327.91793611
epoch 606, time = 28.74, error = 1420.11047408
epoch 607, time = 29.065, error = 1916.11980872
epoch 608, time = 28.758, error = 1483.07756964
